Florissant,38.7892,-90.3226
Larimore,38.78999493,-90.21529267
Raymore,38.802,-94.4527
Wright City,38.8065729,-91.07412035
O'Fallon,38.80902485,-90.69992795
Belton,38.81395045,-94.52577405
Warrenton,38.8169646,-91.16899466
Wentzville,38.8248232,-90.8724298
Fulton,38.84260837,-91.94479735
Old Jamestown,38.849899,-90.29097182
Jonesburg,38.8606333,-91.3032543
Lone Jack,38.88556437,-94.19178206
Lees Summit,38.91071471,-94.39585987
Lee Summitt,38.9108,-94.3822
Boonville,38.9162715,-92.6561465
Columbia,38.9361865,-92.362238
Moscow Mills,38.9468275,-90.9196555
Truxton,38.97138175,-91.29569344
Grandview,38.9716071,-94.55821955
Troy,38.9795,-90.9807
Kansas City,38.987991,-94.598868
Blue Springs,38.99187516,-94.32928905
Aullville,38.99376805,-93.7116834
Bellflower,38.99479435,-91.27601328
Blackwater,38.99575808,-92.97734516
Oak Grove,39.0049976,-94.12920965
Auxvasse,39.0181,-91.8971
Raytown,39.0277818,-94.46980444
Blackwater,39.04509769,-92.93955837
Kansas City,39.09570315,-94.58140055
Independence,39.10233352,-94.43354893
Kansas City,39.10672249,-94.5364625
Kansas City,39.10915325,-94.5570965
Kansas City,39.10915325,-94.5570965
Kansas City,39.10934462,-94.56246315
Hallsville,39.13159973,-92.24055554
Fayette,39.14690695,-92.7008369
Mexico,39.1707382,-91.89165655
Claycomo,39.20054377,-94.48141615
Gladstone,39.2039,-94.5547
Liberty,39.2058392,-94.48431615
Centralia,39.2103,-92.138
Slater,39.231109,-93.066482
Liberty,39.24211652,-94.32174576
Riggs,39.24777835,-92.29284942
Hardin,39.2759595,-93.8426355
Vandalia,39.31383051,-91.497465
Excelsior Springs,39.33331985,-94.22469343
Platte City,39.35159827,-94.77909391
Carrollton,39.3585315,-93.496513
Kearney,39.3678,-94.3622
Smithville,39.406553,-94.5648925
Moberly,39.4184,-92.4382
Weston,39.42146025,-94.8762309
Huntsville,39.43790234,-92.54188075
Center,39.507922,-91.529116
Fairmont,39.52632367,-80.1759649
Lathrop,39.558091,-94.32871295
Monroe City,39.6434795,-91.72984819
Agency,39.6447,-94.74
Shelbina,39.6927145,-92.04239345
Hannibal,39.71723115,-91.37619675
St Joseph,39.72542259,-94.77922108
Cameron,39.74332195,-94.237338
Hamilton,39.7436,-93.9983
Macon,39.746321,-92.467091
Bevier,39.747067,-92.564613
St Joseph,39.7776507,-94.85526345
St. Joseph,39.7776507,-94.85526345
Saint Joseph,39.7776507,-94.85526345
Brookfield,39.78343315,-93.0836849
Chillicothe,39.79414915,-93.54000409
Cosby,39.8642,-94.6783
Savannah,39.9417,-94.8302
Rosendale,40.03968874,-94.83028802
Lewistown,40.0807445,-91.8137455
Canton,40.134572,-91.5189607
Kirksville,40.19278111,-92.61127627
Kirksville,40.2212661,-92.58082128
Delaware,40.27307645,-83.0664563
Kahoka,40.4135948,-91.7196321
Kahoka,40.4135948,-91.7196321
Kahoka,40.4135948,-91.7196321
Kahoka,40.4135948,-91.7196321
Kahoka,40.4135948,-91.7196321
Kahoka,40.4135948,-91.7196321
Kahoka,40.4135948,-91.7196321
Kahoka,40.4135948,-91.7196321
Kahoka,40.4135948,-91.7196321
Tarkio,40.44482184,-95.36864966
Memphis,40.464422,-92.180175
Lancaster,40.524213,-92.525299
Westboro,40.5782035,-95.220679
London,51.4922062,0.06105245
Huddersfield,53.62423455,-1.87841905
